Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
2,57,HOU,D.J. Swearinger\SweaDJ00,DB,22,2018,0,0,4,28,9,90,0,0,0,0,0,0,0,0,0,0,0,280,14,4.5,South Carolina,College Stats
2,58,DEN,Montee Ball\BallMo00,RB,22,2014,0,0,0,8,8,21,0,0,0,0,0,175,731,5,29,207,0,6,,,Wisconsin,College Stats
2,59,NWE,Aaron Dobson\DobsAa00,WR,22,2015,0,0,1,6,6,24,0,0,0,0,0,0,0,0,53,698,4,1,,,Marshall,College Stats
2,60,ATL,Robert Alford\AlfoRo00,DB,24,2018,0,0,5,24,24,88,0,0,0,0,0,0,0,0,0,0,0,245,10,,SE Louisiana,
2,61,GNB,Eddie Lacy\LacyEd00,RB,23,2017,0,1,3,36,34,60,0,0,0,0,0,857,3614,23,107,947,6,3,,,Alabama,College Stats
2,62,SEA,Christine Michael\MichCh00,RB,22,2018,0,0,0,9,8,38,0,0,0,0,0,256,1089,7,26,135,1,,,,Texas A&M,College Stats
3,63,KAN,Travis Kelce\KelcTr00,TE,23,2018,2,4,5,48,48,80,0,1,0,0,1,3,2,0,410,5236,32,,,,Cincinnati,College Stats
3,64,JAX,Dwayne Gratz\GratDw00,DB,23,2016,0,0,2,10,10,43,0,0,0,0,0,0,0,0,0,0,0,91,3,,Connecticut,College Stats
3,65,DET,Larry Warford\WarfLa00,G,22,2018,0,2,6,43,22,86,0,0,0,0,0,0,0,0,0,0,0,3,,,Kentucky,
3,66,OAK,Sio Moore\MoorSi00,LB,23,2016,0,0,2,15,10,47,0,0,0,0,0,0,0,0,0,0,0,159,,7.5,Connecticut,College Stats
3,67,PHI,Bennie Logan\LogaBe00,DT,23,2018,0,0,5,32,21,89,0,0,0,0,0,0,0,0,0,0,0,164,,7.0,LSU,College Stats
3,68,CLE,Leon McFadden\McFaLe00,DB,22,2016,0,0,0,2,1,34,0,0,0,0,0,0,0,0,0,0,0,21,,,San Diego St.,College Stats
3,69,ARI,Tyrann Mathieu\MathTy00,DB,21,2018,1,1,5,31,24,82,0,0,0,0,0,0,0,0,0,0,0,351,13,7.0,LSU,
3,70,TEN,Blidi Wreh-Wilson\WrehBl00,DB,23,2018,0,0,1,7,6,46,0,0,0,0,0,0,0,0,0,0,0,79,1,,Connecticut,College Stats
